DUID,Site Name,Region,Technology Type,Dispatch Type,Unit Capacity (MW AC),Commitment Status,Full Commercial Use Date,Closure Date,Closure Year
QBYNB1,ACT BESS,NSW1,Battery Storage,Scheduled,10.0,In Service,,,
ADPBA1,Adelaide Desalination Plant,SA1,Battery Storage,Scheduled,7.76,In Service,,,
ADVMH1,Adelaide Desalination Plant,SA1,Hydro,Non-scheduled,1.0,In Service,,,
ADPPV2,Adelaide Desalination Plant,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
ADPPV1,Adelaide Desalination Plant,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
ALDGASF1,Aldoga Solar Farm,QLD1,Solar PV,Semi-scheduled,2.47,In Service,2025.0,,
ANGAST1,Angaston,SA1,Gas Turbine,Scheduled,30.8,In Service,,,
APPIN,Appin,NSW1,Gas Turbine,Non-scheduled,1.03,In Service,,,
ARWF1,Ararat Wind Farm,VIC1,Wind,Semi-scheduled,3.2,In Service,,,
AVLSF1,Avonlie Solar Farm,NSW1,Solar PV,Semi-scheduled,3.63,In Service,,,
BDL01,Bairnsdale,VIC1,Gas Turbine,Scheduled,47.0,In Service,,,
BDL02,Bairnsdale,VIC1,Gas Turbine,Scheduled,47.0,In Service,,,
BAKING1,Baking Board Solar Farm Chinchilla,QLD1,Solar PV,Non-scheduled,14.7,In Service,,,
BALDHWF1,Bald Hills Wind Farm,VIC1,Wind,Semi-scheduled,2.05,In Service,,,
BALB1,Ballarat Energy Storage System,VIC1,Battery Storage,Scheduled,1.77,In Service,,,
BANGOWF1,Bango 973 Wind Farm,NSW1,Wind,Semi-scheduled,5.3,In Service,,,
BANGOWF2,Bango 999 Wind Farm,NSW1,Wind,Semi-scheduled,5.3,In Service,,,
BAPS,Banimboola,VIC1,Hydro,Non-scheduled,10.0,In Service,,,
BANN1,Bannerton Solar Park,VIC1,Solar PV,Semi-scheduled,2.5,In Service,,,
BARCALDN,Barcaldine Power Station,QLD1,Gas Turbine,Scheduled,37.0,In Service,,,
BARCSF1,Barcaldine Remote Community Solar Farm,QLD1,Solar PV,Non-scheduled,2.0,In Service,,,
BARKIPS1,Barker Inlet Power Station,SA1,Gas Turbine,Scheduled,17.5,In Service,,,
BARRON-1,Barron Gorge,QLD1,Hydro,Scheduled,35.0,In Service,,,
BARRON-2,Barron Gorge,QLD1,Hydro,Scheduled,35.0,In Service,,,
BASTYAN,Bastyan,TAS1,Hydro,Scheduled,79.9,In Service,,,
BW01,Bayswater,NSW1,Coal,Scheduled,660.0,In Service,,,
BW02,Bayswater,NSW1,Coal,Scheduled,685.0,In Service,,,
BW03,Bayswater,NSW1,Coal,Scheduled,685.0,In Service,,,
BW04,Bayswater,NSW1,Coal,Scheduled,685.0,In Service,,,
BBTHREE1,Bell Bay Three,TAS1,Gas Turbine,Scheduled,40.0,In Service,,,
BBTHREE2,Bell Bay Three,TAS1,Gas Turbine,Scheduled,40.0,In Service,,,
BBTHREE3,Bell Bay Three,TAS1,Gas Turbine,Scheduled,40.0,In Service,,,
BRYB1WF1,Berrybank Wind Farm,VIC1,Wind,Semi-scheduled,4.2,In Service,,,
BRYB2WF2,Berrybank Wind Farm,VIC1,Wind,Semi-scheduled,4.2,In Service,,,
BERYLSF1,Beryl Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Service,,,
BLOWERNG,Blowering,NSW1,Hydro,Scheduled,80.0,In Service,,,
BLUEGSF1,Bluegrass Solar Farm,QLD1,Solar PV,Semi-scheduled,148.0,In Service,2023.0,,
BLYTHB1,Blyth BESS,SA1,Battery Storage,Scheduled,3.13,In Service,2025.0,,
BOCORWF1,Boco Rock Wind Farm,NSW1,Wind,Semi-scheduled,1.7,In Service,,,
BODWF1,Bodangora Wind Farm,NSW1,Wind,Semi-scheduled,3.43,In Service,,,
MCKAY1,Bogong / Mackay,VIC1,Hydro,Scheduled,70.0,In Service,,,
BOLIVPS1,Bolivar Power Station,SA1,Gas Turbine,Scheduled,32.1,In Service,,,
BOWWBA1,Bolivar Waste Water Treatment,SA1,Battery Storage,Scheduled,3.08,In Service,,,
BOWWPV1,Bolivar Waste Water Treatment,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
BOMENSF1,Bomen Solar Farm,NSW1,Solar PV,Semi-scheduled,2.75,In Service,,,
BBATTERY1,Bouldercombe Battery project,QLD1,Battery Storage,Scheduled,1.25,In Service,,,
BRAEMAR1,Braemar,QLD1,Gas Turbine,Scheduled,188.0,In Service,,,
BRAEMAR2,Braemar,QLD1,Gas Turbine,Scheduled,188.0,In Service,,,
BRAEMAR3,Braemar,QLD1,Gas Turbine,Scheduled,188.0,In Service,,,
BRAEMAR5,Braemar 2 Power Station,QLD1,Gas Turbine,Scheduled,173.0,In Service,,,
BRAEMAR6,Braemar 2 Power Station,QLD1,Gas Turbine,Scheduled,173.0,In Service,,,
BRAEMAR7,Braemar 2 Power Station,QLD1,Gas Turbine,Scheduled,173.0,In Service,,,
BWTR1,Broadwater,NSW1,Gas Turbine,Non-scheduled,38.0,In Service,,,
BHB1,Broken Hill BESS,NSW1,Battery Storage,Scheduled,1.37,In Service,,,
GB01,Broken Hill GT,NSW1,Gas Turbine,Non-scheduled,50.0,In Service,,,
BROKENH1,Broken Hill Solar Plant,NSW1,Solar PV,Semi-scheduled,1.33,In Service,,,
BROOKLYN,Brooklyn LFG U1-3,VIC1,Other,Non-scheduled,2.83,In Service,,,
BROWNMT,Brown Mountain Hydro Power Station,NSW1,Hydro,Non-scheduled,5.0,In Service,,,
BPLANDF1,Browns Plains,QLD1,Other,Non-scheduled,1.03,In Service,,,
BULBES1,Bulgana Green Power Hub - BESS,VIC1,Battery Storage,Scheduled,0.5,In Service,,,
BULGANA1,Bulgana Green Power Hub - Wind Farm,VIC1,Wind,Semi-scheduled,3.65,In Service,,,
BNGSF1,Bungala One Solar Farm,SA1,Solar PV,Semi-scheduled,2.5,In Service,,,
BNGSF2,Bungala Two Solar Farm,SA1,Solar PV,Semi-scheduled,2.5,In Service,,,
BDONGHYD,Burrendong,NSW1,Hydro,Non-scheduled,19.0,In Service,,,
BURRIN,Burrinjuck,NSW1,Hydro,Non-scheduled,7.0,In Service,,,
BUTLERSG,Butlers Gorge,TAS1,Hydro,Non-scheduled,12.2,In Service,,,
CALL_B_1,Callide B,QLD1,Coal,Scheduled,350.0,In Service,,,
CALL_B_2,Callide B,QLD1,Coal,Scheduled,350.0,In Service,,,
CPP_3,Callide C,QLD1,Coal,Scheduled,424.0,In Service,,,
CPP_4,Callide C,QLD1,Coal,Scheduled,420.0,In Service,,,
CNUNDAWF,Canunda,SA1,Wind,Significant Non-scheduled,2.0,In Service,,,
CAPBES1,Capital Battery,NSW1,Battery Storage,Scheduled,3.03,In Service,,,
CESF1,Capital East Solar Farm P1,NSW1,Solar PV,Non-scheduled,0.5,In Service,,,
CAPTL_WF,Capital Wind Farm,NSW1,Wind,Significant Non-scheduled,2.1,In Service,,,
LI_WY_CA,Catagunya / Liapootah / Wayatinah,TAS1,Hydro,Scheduled,27.0,In Service,,,
CATHROCK,Cathedral Rocks,SA1,Wind,Significant Non-scheduled,2.0,In Service,,,
CTHLWF1,Cattle Hill Wind Farm,TAS1,Wind,Semi-scheduled,3.2,In Service,,,
CETHANA,Cethana,TAS1,Hydro,Scheduled,85.0,In Service,,,
CHALLHWF,Challicum Hills,VIC1,Wind,Significant Non-scheduled,1.5,In Service,,,
CHPSTWF1,Chepstowe Wind Farm - VIC,VIC1,Wind,Non-scheduled,2.05,In Service,,,
CHYTWF1,Cherry Tree Wind Farm,VIC1,Wind,Semi-scheduled,3.6,In Service,,,
CHILDSF1,Childers Solar Farm,QLD1,Solar PV,Semi-scheduled,1.74,In Service,,,
CHBESS1,Chinchilla BESS,QLD1,Battery Storage,Scheduled,100.0,In Service,,,
CBWWBA1,Christies Beach Wastewater Treatment Plant,SA1,Battery Storage,Scheduled,2.16,In Service,,,
CBWWPV1,Christies Beach Wastewater Treatment Plant,SA1,Solar PV,Non-scheduled,3.0,In Service,,,
CLARESF1,Clare Solar Farm,QLD1,Solar PV,Semi-scheduled,1.6,In Service,,,
CLRKCWF1,Clarke Creek Wind Farm,QLD1,Wind,Semi-scheduled,4.5,In Commissioning,2025.0,,
CLRKCWF2,Clarke Creek Wind Farm,QLD1,Wind,Semi-scheduled,4.5,In Commissioning,2025.0,,
CLEMGPWF,Clements Gap Wind Farm,SA1,Wind,Semi-scheduled,2.1,In Service,,,
CLERMSF1,Clermont Solar Farm,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
CLOVER,Clover,VIC1,Hydro,Non-scheduled,14.5,In Service,,,
CLUNY,Cluny,TAS1,Hydro,Non-scheduled,19.0,In Service,,,
CODRNGTON,Codrington Wind Farm,VIC1,Wind,Non-scheduled,1.3,In Service,,,
COHUNSF1,Cohuna Solar Farm,VIC1,Solar PV,Semi-scheduled,1.64,In Service,,,
COLEASF1,Coleambally Solar Farm,NSW1,Solar PV,Semi-scheduled,1.67,In Service,,,
COLWF01,Collector,NSW1,Wind,Semi-scheduled,4.2,In Service,,,
CSPVPS1,Collinsville PV,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
CG1,Colongra,NSW1,Gas Turbine,Scheduled,181.0,In Service,,,
CG2,Colongra,NSW1,Gas Turbine,Scheduled,181.0,In Service,,,
CG3,Colongra,NSW1,Gas Turbine,Scheduled,181.0,In Service,,,
CG4,Colongra,NSW1,Gas Turbine,Scheduled,181.0,In Service,,,
COLUMSF1,Columboola Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,In Service,,,
CPSA,Condamine A,QLD1,Gas Turbine,Scheduled,43.7,In Service,,,
CONDONG1,Condong,NSW1,Gas Turbine,Non-scheduled,30.0,In Service,,,
CBWF1,Coonooer Bridge Wind Farm,VIC1,Wind,Non-scheduled,3.3,In Service,,,
COOPGWF1,Coopers Gap Wind Farm,QLD1,Wind,Semi-scheduled,3.63,In Service,,,
COPTNHYD,Copeton,NSW1,Hydro,Non-scheduled,20.0,In Service,,,
CRWASF1,Corowa Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Service,,,
CROOKWF2,Crookwell 2 Wind Farm,NSW1,Wind,Semi-scheduled,3.43,In Service,,,
CROOKWF3,Crookwell 3 Wind Farm,NSW1,Wind,Semi-scheduled,3.6,In Service,,,
CROWLWF1,Crowlands Wind Farm,VIC1,Wind,Semi-scheduled,2.05,In Service,,,
CRURWF1,Crudine Ridge Wind Farm,NSW1,Wind,Semi-scheduled,3.83,In Service,,,
CUSF1,Culcairn Solar Farm,NSW1,Solar PV,Semi-scheduled,3.15,In Service,,,
CULLRGWF,Cullerin Range Wind Farm,NSW1,Wind,Significant Non-scheduled,2.0,In Service,,,
DALNTH1,Dalrymple BESS,SA1,Battery Storage,Scheduled,2.5,In Service,,,
DDPS1,Darling Downs,QLD1,Gas Turbine,Scheduled,280.0,In Service,,,
DDSF1,Darling Downs Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,In Service,,,
DPNTB1,Darlington Point Energy Storage System,NSW1,Battery Storage,Scheduled,1.56,In Service,,,
DARLSF1,Darlington Point Solar Farm,NSW1,Solar PV,Semi-scheduled,2.55,In Service,,,
DARTM1,Dartmouth,VIC1,Hydro,Scheduled,185.0,In Service,,,
DAYDSF1,Daydream Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,In Service,,,
DEVILS_G,Devils Gate,TAS1,Hydro,Scheduled,60.0,In Service,,,
DIAPURWF1,Diapur Wind Farm,VIC1,Wind,Non-scheduled,4.0,In Service,,,
DRYCGT1,Dry Creek GT,SA1,Gas Turbine,Scheduled,52.0,In Service,,,
DRYCGT2,Dry Creek GT,SA1,Gas Turbine,Scheduled,52.0,In Service,,,
DRYCGT3,Dry Creek GT,SA1,Gas Turbine,Scheduled,52.0,In Service,,,
DULAWF1,Dulacca Wind Farm,QLD1,Wind,Semi-scheduled,4.02,In Service,,,
DUNDWF1,Dundonnell Wind Farm,VIC1,Wind,Semi-scheduled,4.2,In Service,,,
DUNDWF2,Dundonnell Wind Farm,VIC1,Wind,Semi-scheduled,4.2,In Service,,,
DUNDWF3,Dundonnell Wind Farm,VIC1,Wind,Semi-scheduled,4.2,In Service,,,
EASTCRK,Eastern Creek,NSW1,Other,Non-scheduled,1.26,In Service,,,
EDENVSF1,Edenvale Solar Park.,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
EILDON1,Eildon,VIC1,Hydro,Scheduled,60.0,In Service,,,
EILDON2,Eildon,VIC1,Hydro,Scheduled,60.0,In Service,,,
