DUID,Site Name,Region,Technology Type,Dispatch Type,Unit Capacity (MW AC),Commitment Status,Full Commercial Use Date,Closure Date,Closure Year
Unknown,Goyder BESS,SA1,Battery Storage,Scheduled,1.06,Anticipated,2028.0,,
Unknown,Goyder BESS Stage 2,SA1,Battery Storage,Scheduled,200.0,Publicly Announced,,,
Unknown,Goyder BESS Stage 2,SA1,Battery Storage,Scheduled,200.0,Publicly Announced,2029.0,,
Unknown,Goyder North BESS 2,SA1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
Unknown,Goyder North Wind Farm,SA1,Wind,Semi-scheduled,6.0,Anticipated,2029.0,,
Unknown,Goyder North Wind Farm,SA1,Wind,Semi-scheduled,6.0,Anticipated,2029.0,,
GSWF1A,Goyder South Wind Farm 1A,SA1,Wind,Semi-scheduled,5.5,In Service,,,
GSWF1B1,Goyder South Wind Farm 1B,SA1,Wind,Semi-scheduled,5.5,In Service,2025.0,,
Unknown,Grahamvale BESS - KCI,VIC1,Battery Storage,Scheduled,100.0,Publicly Announced,,,
GRANGEAV,Grange Avenue,NSW1,Other,Non-scheduled,1.26,In Service,,,
Unknown,Granite Hills Wind Farm,NSW1,Wind,Semi-scheduled,1.0,Publicly Announced,,,
GRANWF1,Granville Harbour Wind Farm,TAS1,Wind,Semi-scheduled,3.6,In Service,,,
Unknown,Great Eastern Offshore Wind - KCI,VIC1,Wind,Semi-scheduled,2508.0,Publicly Announced,,,
Unknown,Great Lakes Battery,TAS1,Battery Storage,Scheduled,100.0,Publicly Announced,2028.0,,
Unknown,Great Western Battery Project,NSW1,Battery Storage,Scheduled,500.0,Anticipated,2028.0,,
Unknown,Greater Southern Offshore Wind - KCI,VIC1,Wind,Semi-scheduled,1500.0,Publicly Announced,,,
Unknown,Green Poly BESS Project (KCI),QLD1,Battery Storage,Scheduled,750.0,Publicly Announced,,,
GREENB1,Greenbank BESS,QLD1,Battery Storage,Scheduled,200.0,In Service,,,
Unknown,Gregadoo Solar Farm,NSW1,Solar PV,Non-scheduled,45.0,Publicly Announced,,,
Unknown,Griffith BESS,NSW1,Battery Storage,Scheduled,100.0,Publicly Announced,2028.0,,
GRIFSF1,Griffith Solar Farm,NSW1,Solar PV,Non-scheduled,2.27,In Service,,,
Unknown,Grosvenor 1,QLD1,Gas Turbine,Non-scheduled,3.0,In Service,,,
Unknown,Grosvenor 2 Waste Coal Mine Gas Power Station,QLD1,Gas Turbine,Non-scheduled,15.21,Publicly Announced,,,
Unknown,Gugaa BESS,NSW1,Battery Storage,Scheduled,4.0,Publicly Announced,,,
Unknown,Guildford Wind Farm,TAS1,Wind,Semi-scheduled,7.2,Publicly Announced,,,
Unknown,Gullen Gas Power Generator,NSW1,Gas Turbine,Semi-scheduled,350.0,Publicly Announced,,,
Unknown,Gullen Range Battery Energy System,NSW1,Battery Storage,Scheduled,500.0,Publicly Announced,,,
GULLRSF1,Gullen Range Solar Farm,NSW1,Solar PV,Semi-scheduled,2.5,In Service,,,
GULLRWF1,Gullen Range Wind Farm,NSW1,Wind,Semi-scheduled,1.5,In Service,,,
GULLRWF1,Gullen Range Wind Farm,NSW1,Wind,Semi-scheduled,2.5,In Service,,,
GULLRWF2,Gullen Range Wind Farm 2,NSW1,Wind,Semi-scheduled,3.57,In Service,,,
Unknown,Gundary Solar Farm and BESS,NSW1,Battery Storage,Scheduled,320.0,Publicly Announced,2029.0,,
Unknown,Gundary Solar Farm and BESS,NSW1,Solar PV,Semi-scheduled,320.0,Publicly Announced,2029.0,,
Unknown,Gundary standalone BESS - KCI,NSW1,Battery Storage,Scheduled,3.58,Publicly Announced,,,
Unknown,Gunnedah BESS,NSW1,Battery Storage,Scheduled,70.0,Publicly Announced,2028.0,,
Unknown,Gunnedah East BESS (Green Leap) - KCI,NSW1,Battery Storage,Scheduled,4.0,Publicly Announced,,,
GNNDHSF1,Gunnedah Solar Farm,NSW1,Solar PV,Semi-scheduled,1.44,In Service,,,
GUNNING1,Gunning Wind Farm,NSW1,Wind,Semi-scheduled,1.5,In Service,,,
GUNNING1,Gunning Wind Farm,NSW1,Wind,Semi-scheduled,1.5,In Service,,,
Unknown,Gunsynd BESS,QLD1,Battery Storage,Scheduled,100.0,Publicly Announced,,,
GUSF1,Gunsynd Solar Farm,QLD1,Solar PV,Semi-scheduled,1.64,Committed,2026.0,,
Unknown,Gurambilbarra Energy Hub,QLD1,Other,Scheduled,1186.0,Publicly Announced,,,
GUTHEGA,Guthega,NSW1,Hydro,Scheduled,30.0,In Service,,,
GUTHEGA,Guthega,NSW1,Hydro,Scheduled,30.0,In Service,,,
Unknown,Guthrie’s Gap Solar Power Station,QLD1,Battery Storage,Scheduled,300.0,Anticipated,2029.0,,
Unknown,Guthrie’s Gap Solar Power Station,QLD1,Solar PV,Semi-scheduled,300.0,Anticipated,2029.0,,
HALAMRD1,Hallam Road,VIC1,Gas Turbine,Non-scheduled,1.12,In Service,,,
NBHWF1,Hallett 4 North Brown Hill,SA1,Wind,Semi-scheduled,2.1,In Service,,,
BLUFF1,Hallett 5 The Bluff WF,SA1,Wind,Semi-scheduled,2.1,In Service,,,
Unknown,Hallett BESS,SA1,Battery Storage,Scheduled,2.94,Anticipated,2027.0,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,18.9,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,18.9,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,18.0,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,21.76,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,27.0,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,25.6,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,17.0,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,17.0,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,17.0,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,17.0,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,20.75,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,20.75,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,37.2,In Service,,,
HALLWF1,Hallett Stage 1 Brown Hill,SA1,Wind,Semi-scheduled,2.1,In Service,,,
HALLWF2,Hallett Stage 2 Hallett Hill,SA1,Wind,Semi-scheduled,2.1,In Service,,,
Unknown,Halys BESS - Iberdrola,QLD1,Battery Storage,Scheduled,500.0,Publicly Announced,,,
Unknown,Halys BESS (X-Elio),QLD1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
Unknown,Halys BESS 1 (Akaysha),QLD1,Battery Storage,Scheduled,4.46,Publicly Announced,2029.0,,
Unknown,Halys BESS 2 (Akaysha),QLD1,Battery Storage,Scheduled,1.56,Publicly Announced,2028.0,,
Unknown,Halys Hybrid Facility - BESS,QLD1,Battery Storage,Scheduled,750.0,Publicly Announced,,,
Unknown,Halys Hybrid Facility - Solar,QLD1,Solar PV,Semi-scheduled,750.0,Publicly Announced,,,
Unknown,Halys to Chinchilla DCA Battery - KCI,QLD1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
HAMISF1,Hamilton Solar Farm,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
Unknown,Hampton Park SESS,NSW1,Solar PV,Scheduled,3.58,Publicly Announced,2028.0,,
Unknown,Hampton Park SESS,NSW1,Battery Storage,Scheduled,3.58,Publicly Announced,2028.0,,
Unknown,Hanworth Battery,NSW1,Battery Storage,Scheduled,1200.0,Publicly Announced,2030.0,,
HVWWPV1,Happy Valley Reservoir,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
HVWWBA1,Happy Valley Reservoir,SA1,Battery Storage,Scheduled,5.52,In Service,,,
Unknown,Hargaves BESS,NSW1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
Unknown,Hargaves Wind Farm,NSW1,Wind,Semi-scheduled,400.0,Publicly Announced,,,
Unknown,Hargraves BESS,NSW1,Battery Storage,Scheduled,300.0,Publicly Announced,2032.0,,
Unknown,Hargraves BESS,NSW1,Wind,Semi-scheduled,7.14,Publicly Announced,2032.0,,
Unknown,Hargraves Energy Project - Wind Solar And BESS,NSW1,Battery Storage,Scheduled,200.0,Publicly Announced,,,
Unknown,Hargraves Energy Project - Wind Solar And BESS,NSW1,Solar PV,Semi-scheduled,300.0,Publicly Announced,,,
Unknown,Hargraves Energy Project - Wind Solar And BESS,NSW1,Wind,Semi-scheduled,600.0,Publicly Announced,,,
Unknown,Harlin Solar Farm,QLD1,Solar PV,Semi-scheduled,400.0,Publicly Announced,,,
Unknown,Harlin Solar Farm,QLD1,Battery Storage,Scheduled,240.0,Publicly Announced,,,
Unknown,Harrami Wind Farm,QLD1,Wind,Semi-scheduled,7.2,Publicly Announced,,,
Unknown,Harrogate BESS,SA1,Battery Storage,Scheduled,1.73,Publicly Announced,2028.0,,
Unknown,Hastings Generation Site,VIC1,Gas Turbine,Non-scheduled,14.33,Publicly Announced,,,
Unknown,Hastings Generation Site,VIC1,Gas Turbine,Non-scheduled,14.33,Publicly Announced,,,
Unknown,Hastings Generation Site,VIC1,Gas Turbine,Non-scheduled,14.33,Publicly Announced,,,
Unknown,Haughton BESS,QLD1,Battery Storage,Scheduled,4.4,Publicly Announced,2029.0,,
HAUGHT11,Haughton Solar Farm Stage 1,QLD1,Solar PV,Semi-scheduled,1.64,In Service,,,
Unknown,Haughton Solar Farm Stage 2,QLD1,Solar PV,Semi-scheduled,3.36,Anticipated,2028.0,,
HD1WF1,Hawkesdale Wind Farm,VIC1,Wind,Semi-scheduled,4.2,In Service,,,
Unknown,Hay Sun Farm,NSW1,Solar PV,Semi-scheduled,110.0,Anticipated,,,
HAYMSF1,Hayman Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,In Service,,,
Unknown,Hazeldean BESS - Storage - KCI,QLD1,Battery Storage,Scheduled,400.0,Publicly Announced,2032.0,,
HBESS1,Hazelwood Battery Energy Storage System (HBESS),VIC1,Battery Storage,Scheduled,200.07,In Service,,,
Unknown,Hazelwood BESS - KCI,VIC1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
Unknown,Hazelwood East BESS - KCI,VIC1,Battery Storage,Scheduled,500.0,Publicly Announced,,,
Unknown,Hazelwood North Solar Farm - KCI,VIC1,Solar PV,Semi-scheduled,480.0,Publicly Announced,,,
Unknown,Heatherton BESS,VIC1,Battery Storage,Scheduled,4.2,Publicly Announced,2027.0,,
Unknown,Hellyer Wind Farm,TAS1,Wind,Semi-scheduled,6.2,Publicly Announced,,,
Unknown,Herries Range Wind Farm,QLD1,Wind,Semi-scheduled,5.7,Publicly Announced,2030.0,,
Unknown,Hexham,VIC1,Battery Storage,Semi-scheduled,3.13,Publicly Announced,2030.0,,
Unknown,Hexham,VIC1,Wind,Semi-scheduled,6.8,Publicly Announced,2030.0,,
Unknown,Heywood BESS,VIC1,Battery Storage,Scheduled,4.6,Publicly Announced,2028.0,,
Unknown,High Sea Wind Farm,VIC1,Wind,Semi-scheduled,21.0,Publicly Announced,2035.0,,
Unknown,Hills of Gold Wind Farm,NSW1,Wind,Semi-scheduled,6.0,Publicly Announced,2029.0,,
HILLSTN1,Hillston Sun Farm,NSW1,Solar PV,Semi-scheduled,2.75,In Service,,,
Unknown,Hobart Show Grounds BESS,TAS1,Battery Storage,Scheduled,11.0,Publicly Announced,,,
Unknown,Hollow Tree Wind Farm,TAS1,Wind,Semi-scheduled,7.8,Publicly Announced,,,
Unknown,Holloway - Battery,NSW1,Battery Storage,Scheduled,4.39,Publicly Announced,2029.0,,
Unknown,Holloway BESS - KCI,NSW1,Battery Storage,Scheduled,3.6,Publicly Announced,,,
Unknown,Hookey Creek Hybrid - Solar And BESs - KCI,QLD1,Battery Storage,Scheduled,200.0,Publicly Announced,2029.0,,
Unknown,Hookey Creek Hybrid - Solar And BESs - KCI,QLD1,Solar PV,Semi-scheduled,100.0,Publicly Announced,2029.0,,
Unknown,Hopeland BESS,QLD1,Battery Storage,Scheduled,2.4,Publicly Announced,2028.0,,
Unknown,Hopeland Solar Farm,QLD1,Solar PV,Semi-scheduled,4.2,Publicly Announced,,,
HPR1,Hornsdale Power Reserve Unit 1,SA1,Battery Storage,Scheduled,50.0,In Service,,,
HPR1,Hornsdale Power Reserve Unit 1,SA1,Battery Storage,Scheduled,100.0,In Service,,,
HDWF1,Hornsdale Wind Farm Stage 1,SA1,Wind,Semi-scheduled,3.2,In Service,,,
HDWF2,Hornsdale Wind Farm Stage 2,SA1,Wind,Semi-scheduled,3.2,In Service,,,
HDWF3,Hornsdale Wind Farm Stage 3,SA1,Wind,Semi-scheduled,3.2,In Service,,,
Unknown,Horsham BESS,VIC1,Battery Storage,Scheduled,2.5,Publicly Announced,,,
Unknown,Horsham Solar Farm,VIC1,Solar PV,Semi-scheduled,3.3,Committed,2026.0,,
HUGSF1,Hughenden Sun Farm,QLD1,Solar PV,Significant Non-scheduled,1.17,In Service,,,
Unknown,Hughes Gap BESS - KCI,SA1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
Unknown,Hughes Gap WF - KCI,SA1,Wind,Scheduled,300.0,Publicly Announced,,,
Unknown,Hughes Road BESS,QLD1,Battery Storage,Scheduled,200.0,Publicly Announced,2028.0,,
Unknown,Hume Bess (ARIF),NSW1,Battery Storage,Scheduled,75.0,Publicly Announced,,,
HUMENSW,Hume Dam NSW,NSW1,Hydro,Scheduled,29.0,In Service,,,
HUMEV,Hume Dam VIC,VIC1,Hydro,Scheduled,29.0,In Service,,,
Unknown,Hume North Battery Energy Storage System,NSW1,Battery Storage,Scheduled,75.0,Publicly Announced,,,
Unknown,Hunter Central Coast Offshore Energy (Wind),NSW1,Wind,Semi-scheduled,1400.0,Publicly Announced,,,
HEZ1,Hunter EconomicZone,NSW1,Gas Turbine,Scheduled,1.29,In Service,,,
HUNTER1,Hunter Power Station,NSW1,Gas Turbine,Scheduled,375.0,In Commissioning,2026.0,,
HUNTER2,Hunter Power Station,NSW1,Gas Turbine,Scheduled,375.0,In Commissioning,2026.0,,
HLMSEW01,HYMIVC06 Belgrave-Hallam Rd Micro Hydro,VIC1,Hydro,Non-scheduled,0.25,In Service,,,
Unknown,Ilford Green Energy Hub,NSW1,Solar PV,Semi-scheduled,4.39,Publicly Announced,2030.0,,
Unknown,Ilford Green Energy Hub,NSW1,Battery Storage,Scheduled,4.39,Publicly Announced,2029.0,,
Unknown,Ilford Green Energy Hub,NSW1,Wind,Semi-scheduled,7.0,Publicly Announced,2032.0,,
Unknown,Illawarra Offshore Wind Farm,NSW1,Wind,Semi-scheduled,2000.0,Publicly Announced,2031.0,,
Unknown,Inverell Battery Energy Storage System,NSW1,Battery Storage,Scheduled,3.75,Publicly Announced,,,
Unknown,Inverleigh Solar Farm,VIC1,Solar PV,Semi-scheduled,22.0,Publicly Announced,,,
Unknown,Inverleigh Wind Farm,VIC1,Wind,Semi-scheduled,6.1,Anticipated,,,
Unknown,Invicta Mill,QLD1,Other,Non-scheduled,9.0,In Service,,,
Unknown,Invicta Mill,QLD1,Other,Non-scheduled,2.5,In Service,,,
Unknown,Invicta Mill,QLD1,Other,Non-scheduled,38.8,In Service,,,
Unknown,Ironbark Power Station 20MW Expansion,QLD1,Other,Semi-scheduled,20.0,Publicly Announced,,,
Unknown,Isaac Power Station - KCI,QLD1,Other,Scheduled,120.0,Publicly Announced,,,
ICSM,ISIS Central Sugar Mill Co-generation Plant,QLD1,Gas Turbine,Non-scheduled,25.0,In Service,,,
Unknown,Ivanhoe BESS,NSW1,Battery Storage,Scheduled,0.78,Publicly Announced,,,
Unknown,J Pierce Road BESS,QLD1,Battery Storage,Scheduled,4.6,Publicly Announced,2027.0,,
JGULLY,Jacks Gully,NSW1,Other,Non-scheduled,1.15,In Service,,,
Unknown,Jackson North BESS,QLD1,Battery Storage,Scheduled,1.93,Publicly Announced,2030.0,,
Unknown,Jackson North Wind Farm,QLD1,Wind,Semi-scheduled,6.2,Publicly Announced,2030.0,,
Unknown,Jackson Solar Farm and BESS,QLD1,Battery Storage,Scheduled,400.0,Publicly Announced,,,
Unknown,Jackson Solar Farm and BESS,QLD1,Solar PV,Semi-scheduled,400.0,Publicly Announced,,,
JLA01,Jeeralang A,VIC1,Gas Turbine,Scheduled,53.0,In Service,,,
JLA02,Jeeralang A,VIC1,Gas Turbine,Scheduled,53.0,In Service,,,
JLA03,Jeeralang A,VIC1,Gas Turbine,Scheduled,53.0,In Service,,,
JLA04,Jeeralang A,VIC1,Gas Turbine,Scheduled,53.0,In Service,,,
JLB01,Jeeralang B Power Station,VIC1,Gas Turbine,Scheduled,76.0,In Service,,,
JLB02,Jeeralang B Power Station,VIC1,Gas Turbine,Scheduled,76.0,In Service,,,
JLB03,Jeeralang B Power Station,VIC1,Gas Turbine,Scheduled,76.0,In Service,,,
JEMALNG1,Jemalong Solar,NSW1,Solar PV,Semi-scheduled,2.75,In Service,,,
Unknown,Jeremiah Wind Farm,NSW1,Wind,Semi-scheduled,6.0,Publicly Announced,2031.0,,
JNDABNE1,Jindabyne,NSW1,Hydro,Non-scheduled,1.1,In Service,,,
Unknown,Jindera BESS - Storage - KCI,NSW1,Battery Storage,Scheduled,250.0,Publicly Announced,,,
Unknown,Jindera Solar Farm,NSW1,Solar PV,Semi-scheduled,3.16,Publicly Announced,,,
Unknown,Joel Joel BESS,VIC1,Battery Storage,Scheduled,3.62,Anticipated,2028.0,,
JBUTTERS,John Butters,TAS1,Hydro,Scheduled,144.0,In Service,,,
JOUNAMA1,Jounama,NSW1,Hydro,Non-scheduled,14.4,In Service,,,
Unknown,Junction Rivers Wind And BESS,NSW1,Battery Storage,Scheduled,3.6,Publicly Announced,2032.0,,
Unknown,Junction Rivers Wind And BESS,NSW1,Wind,Semi-scheduled,6.2,Publicly Announced,2032.0,,
JUNEESF1,Junee Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Service,,,
KABANWF1,Kaban Wind Farm,QLD1,Wind,Semi-scheduled,5.6,In Service,,,
Unknown,Kaloya Moa Standalone BESS,QLD1,Battery Storage,Scheduled,4.2,Publicly Announced,2030.0,,
Unknown,Kangaroo Valley BESS,NSW1,Battery Storage,Scheduled,1.93,Publicly Announced,2028.0,,
KARSF1,Karadoc Solar Farm,VIC1,Solar PV,Semi-scheduled,2.75,In Service,,,
Unknown,Karangi BESS,NSW1,Battery Storage,Scheduled,3.8,Publicly Announced,,,
Unknown,Karara BESS - KCI,QLD1,Battery Storage,Scheduled,400.0,Publicly Announced,2027.0,,
KAREEYA1,Kareeya,QLD1,Hydro,Scheduled,21.6,In Service,,,
KAREEYA2,Kareeya,QLD1,Hydro,Scheduled,21.6,In Service,,,
KAREEYA3,Kareeya,QLD1,Hydro,Scheduled,21.6,In Service,,,
KAREEYA4,Kareeya,QLD1,Hydro,Scheduled,21.6,In Service,,,
KAREEYA5,Kareeya 5,QLD1,Hydro,Non-scheduled,7.0,In Service,,,
Unknown,Kariboe Wind Farm,QLD1,Wind,Semi-scheduled,6.0,Publicly Announced,,,
Unknown,Karma Wind Farm - KCI,QLD1,Wind,Semi-scheduled,966.0,Publicly Announced,,,
KEEPIT,Keepit,NSW1,Hydro,Non-scheduled,7.2,In Service,,,
Unknown,Kelsey Creek Solar Farm,QLD1,Solar PV,Semi-scheduled,50.0,Publicly Announced,,,
Unknown,Kemps Creek BESS,NSW1,Battery Storage,Scheduled,10.0,Publicly Announced,,,
KEPSF1,Kennedy Energy Park - Phase 1 - Solar,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
KEPBG1,Kennedy Energy Park - Phase 1 - Storage,QLD1,Battery Storage,Non-scheduled,0.5,In Service,,,
KEPWF1,Kennedy Energy Park - Phase 1 - Wind,QLD1,Wind,Semi-scheduled,3.6,In Service,,,
Unknown,Kentbruck Green Power Hub,VIC1,Wind,Semi-scheduled,600.0,Publicly Announced,2030.0,,
Unknown,Kerang Battery Plant,VIC1,Battery Storage,Scheduled,1.2,Publicly Announced,2030.0,,
Unknown,Kerang BESS,VIC1,Battery Storage,Scheduled,1.84,Publicly Announced,2027.0,,
Unknown,Kerang Hybrid,VIC1,Battery Storage,Scheduled,2.62,Publicly Announced,2029.0,,
Unknown,Kerang Hybrid,VIC1,Solar PV,Semi-scheduled,3.32,Publicly Announced,2029.0,,
KERNGSP1,Kerang Solar Plant,VIC1,Solar PV,Semi-scheduled,3.33,In Service,2025.0,,
Unknown,Kerrawary Power Station,NSW1,Gas Turbine,Scheduled,385.0,Publicly Announced,2029.0,,
Unknown,Kerrawary Power Station,NSW1,Gas Turbine,Scheduled,385.0,Publicly Announced,2029.0,,
Unknown,Kerrs Creek Wind Farm,NSW1,Wind,Semi-scheduled,6.0,Publicly Announced,2030.0,,
KIAMBE,Kiamal BESS,VIC1,Battery Storage,Scheduled,3.44,Publicly Announced,2028.0,,
KIAMSF1,Kiamal Solar Farm - Stage 1,VIC1,Solar PV,Semi-scheduled,1.33,In Service,2026.0,,
Unknown,Kiar BESS,NSW1,Battery Storage,Scheduled,0.98,Publicly Announced,2028.0,,
Unknown,Kias BESS,NSW1,Battery Storage,Scheduled,1000.0,Publicly Announced,,,
Unknown,Kias BESS,NSW1,Battery Storage,Scheduled,0.98,Publicly Announced,2028.0,,
KiataWF1,Kiata Wind Farm,VIC1,Wind,Semi-scheduled,3.45,In Service,,,
Unknown,Kidston BESS,QLD1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
KIDSPHG1,Kidston Pumped Storage Hydro Project 250MW,QLD1,Hydro,Scheduled,125.0,Committed,2027.0,,
KIDSPHG2,Kidston Pumped Storage Hydro Project 250MW,QLD1,Hydro,Scheduled,125.0,Committed,2027.0,,
KSP1,Kidston Solar Project Phase One,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
Unknown,Kidston Solar Project Phase Two,QLD1,Solar PV,Semi-scheduled,270.0,Publicly Announced,2035.0,,
Unknown,KIEWA VALLEY BESS,VIC1,Battery Storage,Scheduled,500.0,Publicly Announced,,,
Unknown,Kincraig BESS,SA1,Battery Storage,Scheduled,3.6,Publicly Announced,2028.0,,
KINGASF1,Kingaroy Solar Farm,QLD1,Solar PV,Semi-scheduled,4.44,In Service,2025.0,,
Unknown,Kingfisher Solar Storage - Solar,SA1,Solar PV,Semi-scheduled,,Publicly Announced,,,
Unknown,Kingfisher Solar Storage - Storage,SA1,Battery Storage,Scheduled,100.0,Publicly Announced,,,
Unknown,Kings Plain Wind Farm,NSW1,Wind,Semi-scheduled,4.49,Publicly Announced,,,
Unknown,Kingswood BESS,NSW1,Battery Storage,Scheduled,250.0,Publicly Announced,,,
Unknown,Koberinga Solar Farm,QLD1,Solar PV,Semi-scheduled,55.0,Publicly Announced,,,
KPP_1,Kogan Creek,QLD1,Coal,Scheduled,744.0,In Service,,,
Unknown,Koolunga Battery Energy Storage System,SA1,Battery Storage,Scheduled,0.98,Publicly Announced,2028.0,,
Unknown,Koorakee Wind Farm,NSW1,Wind,Semi-scheduled,6.0,Publicly Announced,,,
Unknown,Koorangie BESS Stage 2,VIC1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
KESSB1,Koorangie Energy Storage System,VIC1,Battery Storage,Scheduled,185.0,In Service,2025.0,,
Unknown,Koyuga Nanneella Wind Farm,VIC1,Wind,Semi-scheduled,7.8,Publicly Announced,2032.0,,
Unknown,Kurri Kurri Battery,NSW1,Battery Storage,Scheduled,1200.0,Publicly Announced,,,
LADBROK1,Ladbroke Grove,SA1,Gas Turbine,Scheduled,40.0,In Service,,,
LADBROK2,Ladbroke Grove,SA1,Gas Turbine,Scheduled,40.0,In Service,,,
LKBONNY1,Lake Bonney 1 Wind Farm,SA1,Wind,Significant Non-scheduled,1.75,In Service,,,
LKBONNY2,Lake Bonney 2 Wind Farm,SA1,Wind,Semi-scheduled,3.0,In Service,,,
LKBONNY3,Lake Bonney 3 Wind Farm,SA1,Wind,Semi-scheduled,3.0,In Service,,,
LBB1,Lake Bonney Battery Energy Storage,SA1,Battery Storage,Scheduled,0.6,In Service,,,
LK_ECHO,Lake Echo,TAS1,Hydro,Scheduled,32.4,In Service,,,
Unknown,Lake Lyell Pumped Hydro,NSW1,Hydro,Scheduled,385.0,Publicly Announced,2030.0,,
Unknown,Lake Victoria Energy Park - KCI,NSW1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
Unknown,Lake Victoria Energy Park - KCI,NSW1,Wind,Semi-scheduled,7.5,Publicly Announced,,,
Unknown,Lakeland Wind Farm,QLD1,Wind,Semi-scheduled,4.3,Publicly Announced,2030.0,,
Unknown,Lambruk Solar Project,NSW1,Solar PV,Semi-scheduled,4.4,Publicly Announced,2029.0,,
Unknown,Lancaster Solar Farm,VIC1,Solar PV,Semi-scheduled,1.33,Committed,2026.0,,
LVES1,LaTrobe Valley BESS,VIC1,Battery Storage,Scheduled,0.89,In Service,,,
LNGS1,Laverton North,VIC1,Gas Turbine,Scheduled,156.0,In Service,,,
LNGS2,Laverton North,VIC1,Gas Turbine,Scheduled,156.0,In Service,,,
Unknown,Learmonth BESS,VIC1,Battery Storage,Scheduled,268.0,Publicly Announced,,,
Unknown,Leigh Creek Energy Project,SA1,Gas Turbine,Non-scheduled,45.0,Publicly Announced,,,
LEM_WIL,Lemonthyme / Wilmot,TAS1,Hydro,Scheduled,51.0,In Service,,,
LEM_WIL,Lemonthyme / Wilmot,TAS1,Hydro,Scheduled,30.6,In Service,,,
HEPWIND1,Leonards Hill,VIC1,Wind,Non-scheduled,2.05,In Service,,,
HEPWIND1,Leonards Hill,VIC1,Wind,Non-scheduled,2.05,In Service,,,
Unknown,Lerida Solar Farm,NSW1,Solar PV,Semi-scheduled,250.0,Publicly Announced,2029.0,,
Unknown,Lerida Solar Farm,NSW1,Battery Storage,Scheduled,250.0,Publicly Announced,2029.0,,
LDBESS1,Liddell BESS,NSW1,Battery Storage,Scheduled,500.0,Committed*,2026.0,,
Unknown,Lilyvale BESS - KCI,QLD1,Battery Storage,Scheduled,440.0,Publicly Announced,,,
LILYSF1,Lilyvale Solar Farm,QLD1,Solar PV,Semi-scheduled,1.6,In Service,,,
Unknown,Limestone Creek BESS,SA1,Battery Storage,Scheduled,250.0,Publicly Announced,,,
LIMBESS1,Limondale BESS,NSW1,Battery Storage,Scheduled,50.0,Committed,2026.0,,
LIMOSF11,Limondale Solar Farm 1,NSW1,Solar PV,Semi-scheduled,2.3,In Service,,,
LIMOSF21,Limondale Solar Farm 2,NSW1,Solar PV,Semi-scheduled,2.07,In Service,,,
LGAPBS1,LINCOLN GAP BESSBDU,SA1,Battery Storage,Scheduled,1.8,Committed,2026.0,,
LGAPWF1,Lincoln Gap Wind Farm - stage 1,SA1,Wind,Semi-scheduled,3.6,In Service,,,
LGAPWF2,Lincoln Gap Wind Farm - Stage 2,SA1,Wind,Semi-scheduled,3.6,In Service,,,
Unknown,Lincoln Gap Wind Farm stage 3,SA1,Wind,Semi-scheduled,6.6,Publicly Announced,,,
Unknown,Lindley BESS,SA1,Battery Storage,Scheduled,4.2,Anticipated,2027.0,,
Unknown,Lindsay Gap BESS,NSW1,Battery Storage,Scheduled,450.0,Publicly Announced,,,
Unknown,Lionsgate Battery,SA1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
Unknown,Little River BESS,VIC1,Battery Storage,Scheduled,3.62,Anticipated,2028.0,,
Unknown,Little River Solar Farm - KCI,VIC1,Solar PV,Semi-scheduled,279.0,Publicly Announced,,,
